timestamp,human_readable_date,value,context
1579542332067,2020-01-20 14:45:32,4.049656,b'{}'
1579541430382,2020-01-20 14:30:30,4.0646853,b'{}'
1579539627544,2020-01-20 14:00:27,4.0979605,b'{}'
1579538724055,2020-01-20 13:45:24,4.0971394,b'{}'
1579537822108,2020-01-20 13:30:22,4.0936203,b'{}'
1579536920084,2020-01-20 13:15:20,4.0582485,b'{}'
1579536021689,2020-01-20 13:00:21,4.075792,b'{}'
1579535113099,2020-01-20 12:45:13,4.093304,b'{}'
1579534211037,2020-01-20 12:30:11,4.097392,b'{}'
1579533310749,2020-01-20 12:15:10,4.0990725,b'{}'
1579532406392,2020-01-20 12:00:06,4.0878263,b'{}'
1579531521009,2020-01-20 11:45:21,4.052723,b'{}'
1579530623330,2020-01-20 11:30:23,4.07166,b'{}'
1579529713044,2020-01-20 11:15:13,4.093119,b'{}'
1579528811249,2020-01-20 11:00:11,4.098538,b'{}'
1579527909157,2020-01-20 10:45:09,4.0975924,b'{}'
1579527007432,2020-01-20 10:30:07,4.0622797,b'{}'
1579526118962,2020-01-20 10:15:18,4.050838,b'{}'
1579525221012,2020-01-20 10:00:21,4.069256,b'{}'
1579524313072,2020-01-20 09:45:13,4.091862,b'{}'
1579523411446,2020-01-20 09:30:11,4.0958185,b'{}'
1579522509463,2020-01-20 09:15:09,4.096284,b'{}'
1579521606831,2020-01-20 09:00:06,4.0602846,b'{}'
1579520720010,2020-01-20 08:45:20,4.057268,b'{}'
1579519820464,2020-01-20 08:30:20,4.07742,b'{}'
1579518911938,2020-01-20 08:15:11,4.094984,b'{}'
1579518010112,2020-01-20 08:00:10,4.098818,b'{}'
1579517108002,2020-01-20 07:45:08,4.0924,b'{}'
1579516205678,2020-01-20 07:30:05,4.06493,b'{}'
1579515319014,2020-01-20 07:15:19,4.054308,b'{}'
1579514419994,2020-01-20 07:00:19,4.0668917,b'{}'
1579513518513,2020-01-20 06:45:18,4.0935445,b'{}'
1579512610895,2020-01-20 06:30:10,4.096854,b'{}'
1579511708948,2020-01-20 06:15:08,4.0911503,b'{}'
1579510806853,2020-01-20 06:00:06,4.0905647,b'{}'
1579509919894,2020-01-20 05:45:19,4.0565853,b'{}'
1579509020931,2020-01-20 05:30:20,4.0660486,b'{}'
1579508111942,2020-01-20 05:15:11,4.092868,b'{}'
1579507210039,2020-01-20 05:00:10,4.092967,b'{}'
1579506307907,2020-01-20 04:45:07,4.106843,b'{}'
1579505405304,2020-01-20 04:30:05,4.0351744,b'{}'
1579504519016,2020-01-20 04:15:19,4.052099,b'{}'
1579503620252,2020-01-20 04:00:20,4.070483,b'{}'
1579502712919,2020-01-20 03:45:12,4.089144,b'{}'
1579501809992,2020-01-20 03:30:09,4.0891623,b'{}'
1579500907932,2020-01-20 03:15:07,4.0988398,b'{}'
1579500005752,2020-01-20 03:00:05,4.081341,b'{}'
1579499118882,2020-01-20 02:45:18,4.0550385,b'{}'
1579498219617,2020-01-20 02:30:19,4.067629,b'{}'
