Data;Device ID;Link Quality Indicator;Operator;Sequence number;Timestamp;;Mensajes perdidos;Mensajes perdidos por dia;Mensajes enviados por dia
000000001cbb8240020200;004D54B4;Average;SIGFOX_Chile_Mintek;3818;06-01-2020 19:55;1;0;;
000000006ef48240020200;004D54B4;Average;SIGFOX_Chile_Mintek;3817;06-01-2020 19:52;1;0;;
cd4c62434d488340000000;004D54B4;Average;SIGFOX_Chile_Mintek;3816;06-01-2020 19:43;1;0;;
9a1962439e188340000000;004D54B4;Limit;SIGFOX_Chile_Mintek;3815;06-01-2020 19:31;1;0;;
9a996243a6668340000000;004D54B4;Average;SIGFOX_Chile_Mintek;3814;06-01-2020 19:19;1;0;;
33b36243d8588340000000;004D54B4;Average;SIGFOX_Chile_Mintek;3813;06-01-2020 19:06;1;0;;
cdcc6243843b8340000000;004D54B4;Average;SIGFOX_Chile_Mintek;3812;06-01-2020 18:54;1;0;;
33b363438a158340000000;004D54B4;Average;SIGFOX_Chile_Mintek;3811;06-01-2020 18:42;1;0;;
cdcc5d432a0d8340000000;004D54B4;Average;SIGFOX_Chile_Mintek;3810;06-01-2020 18:30;1;0;;
66e66143ba018340000000;004D54B4;Limit;SIGFOX_Chile_Mintek;3809;06-01-2020 18:18;1;0;;
00006143a6848240000000;004D54B4;Average;SIGFOX_Chile_Mintek;3808;06-01-2020 18:12;1;0;;
00000000f5ef7e40020200;004D54B4;Average;SIGFOX_Chile_Mintek;3807;06-01-2020 18:06;1;0;;
0000000007867f40020200;004D54B4;Limit;SIGFOX_Chile_Mintek;3806;06-01-2020 17:54;1;0;;
00000000c6747f40020200;004D54B4;Average;SIGFOX_Chile_Mintek;3805;06-01-2020 17:51;1;0;;
00805d4308c17f40000000;004D54B4;Average;SIGFOX_Chile_Mintek;3804;06-01-2020 17:42;1;0;;
66e65f434f278040000000;004D54B4;Average;SIGFOX_Chile_Mintek;3803;06-01-2020 17:30;1;0;;
9a995f4397808040000000;004D54B4;Limit;SIGFOX_Chile_Mintek;3802;06-01-2020 17:18;1;0;;
9a99604395b78040000000;004D54B4;Average;SIGFOX_Chile_Mintek;3801;06-01-2020 17:06;1;0;;
cd4c60430cd28040000000;004D54B4;Average;SIGFOX_Chile_Mintek;3800;06-01-2020 16:54;1;0;;
00806043c4228140000000;004D54B4;Average;SIGFOX_Chile_Mintek;3799;06-01-2020 16:42;1;0;;
6666604307bf8140000000;004D54B4;Average;SIGFOX_Chile_Mintek;3798;06-01-2020 16:30;1;0;;
6666604316128240000000;004D54B4;Average;SIGFOX_Chile_Mintek;3797;06-01-2020 16:18;1;0;;
cdcc5e430a578240000000;004D54B4;Limit;SIGFOX_Chile_Mintek;3796;06-01-2020 16:06;1;0;;
