[00:06:21] ac,225.8,bateria,4.096681
[00:18:24] ac,226.6,bateria,4.09704
[00:30:27] ac,223.2,bateria,4.1048
[00:42:30] ac,223.6,bateria,4.101422
[00:54:33] ac,223.9,bateria,4.096884
[01:06:35] ac,226.2,bateria,4.112222
[01:18:38] ac,226.1,bateria,4.098107
[01:30:41] ac,226.7,bateria,4.109299
[01:42:44] ac,227.2,bateria,4.101585
[01:54:46] ac,225.4,bateria,4.108682
[02:06:49] ac,226.6,bateria,4.096914
[02:18:52] ac,227.3,bateria,4.103872
[02:30:55] ac,228.4,bateria,4.099507
[02:42:58] ac,227.6,bateria,4.105777
[02:55:01] ac,228.6,bateria,4.102407
[03:07:04] ac,229.6,bateria,4.101439
[03:19:06] ac,229.7,bateria,4.10825
[03:31:09] ac,229.6,bateria,4.101502
[03:43:12] ac,226.0,bateria,4.10111
[03:55:15] ac,226.7,bateria,4.103762
[04:07:18] ac,226.9,bateria,4.103638
[04:19:21] ac,227.1,bateria,4.103828
[04:31:24] ac,227.5,bateria,4.096577
[04:43:26] ac,227.0,bateria,4.101379
[04:55:29] ac,227.2,bateria,4.102684
[05:07:32] ac,224.5,bateria,4.095783
[05:19:35] ac,227.4,bateria,4.111412
[05:31:38] ac,227.9,bateria,4.097573
[05:43:40] ac,227.7,bateria,4.104846
[05:55:43] ac,227.6,bateria,4.103889
[06:07:46] ac,226.8,bateria,4.103438
[06:19:49] ac,227.0,bateria,4.101082
[06:31:52] ac,229.3,bateria,4.100431
[06:43:55] ac,228.8,bateria,4.103481
[06:55:57] ac,228.6,bateria,4.103854
[07:08:00] ac,227.2,bateria,4.104977
[07:20:03] ac,226.8,bateria,4.100389
[07:32:06] ac,227.3,bateria,4.090403
[07:44:09] ac,226.9,bateria,4.097946
[07:56:12] ac,228.2,bateria,4.101954
[08:08:14] ac,227.0,bateria,4.097231
[08:20:17] ac,225.9,bateria,4.104077
[08:32:20] ac,225.3,bateria,4.108474
[08:44:23] ac,223.4,bateria,4.099375
[08:56:26] ac,223.0,bateria,4.099144
[09:08:28] ac,224.3,bateria,4.102708
[09:20:31] ac,226.9,bateria,4.097158
[09:32:34] ac,226.2,bateria,4.099913
[09:44:37] ac,225.9,bateria,4.100554
[09:56:40] ac,225.9,bateria,4.101477
[10:08:43] ac,225.7,bateria,4.099297
[10:20:46] ac,224.9,bateria,4.095807
[10:32:48] ac,223.9,bateria,4.101915
[10:44:51] ac,223.6,bateria,4.104312
[10:56:54] ac,223.6,bateria,4.106855
[11:08:57] ac,223.8,bateria,4.093287
[11:21:00] ac,222.2,bateria,4.103502
[11:33:03] ac,221.3,bateria,4.095395
[11:45:06] ac,223.5,bateria,4.097821
[11:57:08] ac,226.4,bateria,4.099797
[12:09:11] ac,226.5,bateria,4.094379
[12:21:14] ac,225.7,bateria,4.100379
[12:33:17] ac,226.1,bateria,4.100201
[12:45:19] ac,225.5,bateria,4.096372
[12:57:22] ac,224.3,bateria,4.099908
[13:09:25] ac,224.6,bateria,4.101623
[13:21:28] ac,220.6,bateria,4.098701
[13:33:31] ac,223.2,bateria,4.09498
[13:45:34] ac,223.5,bateria,4.095987
[13:57:37] ac,224.0,bateria,4.098245
[14:09:39] ac,224.1,bateria,4.094586
[14:21:42] ac,221.0,bateria,4.099912
[14:33:45] ac,223.2,bateria,4.100192
[14:45:48] ac,224.2,bateria,4.09421
[14:57:51] ac,224.4,bateria,4.098305
[15:09:54] ac,224.5,bateria,4.098026
[15:21:56] ac,223.6,bateria,4.102971
[15:33:59] ac,224.0,bateria,4.095752
[15:46:02] ac,223.9,bateria,4.097516
[15:58:05] ac,223.8,bateria,4.104763
[16:10:08] ac,223.9,bateria,4.098499
[16:22:10] ac,224.3,bateria,4.102316
[16:34:13] ac,224.8,bateria,4.100142
[16:46:16] ac,225.2,bateria,4.10821
[16:58:19] ac,225.8,bateria,4.106575
[17:10:22] ac,224.9,bateria,4.094926
[17:22:25] ac,225.5,bateria,4.096439
[17:34:28] ac,225.4,bateria,4.095116
[17:46:30] ac,226.1,bateria,4.103338
[17:58:33] ac,226.3,bateria,4.093841
[18:10:36] ac,224.1,bateria,4.101648
[18:22:39] ac,223.5,bateria,4.109303
[18:34:42] ac,227.4,bateria,4.097445
[18:46:44] ac,227.7,bateria,4.104172
[18:58:47] ac,227.4,bateria,4.098164
[19:10:50] ac,228.0,bateria,4.107146
[19:22:53] ac,224.5,bateria,4.099364
[19:34:56] ac,224.6,bateria,4.10111
[19:46:59] ac,224.7,bateria,4.10218
[19:59:01] ac,224.1,bateria,4.104898
[20:11:04] ac,224.7,bateria,4.097803
[20:23:07] ac,224.0,bateria,4.099838
[20:35:10] ac,224.1,bateria,4.099303
[20:47:13] ac,224.0,bateria,4.091661
[20:59:16] ac,223.2,bateria,4.095613
[21:11:18] ac,222.4,bateria,4.096196
[21:23:21] ac,221.5,bateria,4.10356
[21:35:24] ac,221.6,bateria,4.101011
[21:47:27] ac,222.0,bateria,4.101602
[21:59:30] ac,222.1,bateria,4.100924
[22:11:33] ac,223.0,bateria,4.104383
[22:23:36] ac,223.5,bateria,4.095074
[22:35:38] ac,224.8,bateria,4.095747
[22:47:41] ac,223.8,bateria,4.093413
[22:59:44] ac,223.1,bateria,4.106572
[23:11:47] ac,223.5,bateria,4.099862
[23:23:50] ac,223.6,bateria,4.095272
[23:35:52] ac,224.2,bateria,4.10226
[23:47:55] ac,224.2,bateria,4.108404
[23:59:58] ac,224.2,bateria,4.100037
