Timestamp,Human readable date,Data,Context
1582537873821,2020-02-24 06:51:13,0.0,"b'{""data"":""9a99644373b95240000002""}'"
1582536971844,2020-02-24 06:36:11,0.0,"b'{""data"":""33336443547a5a40000002""}'"
1582536069822,2020-02-24 06:21:09,0.0,"b'{""data"":""66e665430bfd5c40000002""}'"
1582535167058,2020-02-24 06:06:07,0.0,"b'{""data"":""008066435ee45e40000002""}'"
1582534263914,2020-02-24 05:51:03,0.0,"b'{""data"":""cdcc6543cba96040000001""}'"
1582533361300,2020-02-24 05:36:01,0.0,"b'{""data"":""cdcc654343df6140000001""}'"
1582532458833,2020-02-24 05:20:58,0.0,"b'{""data"":""00806643b0cb6240000001""}'"
1582531556763,2020-02-24 05:05:56,0.0,"b'{""data"":""cdcc65434b696340000001""}'"
1582530654847,2020-02-24 04:50:54,0.0,"b'{""data"":""66666643a0006440000001""}'"
1582529752829,2020-02-24 04:35:52,0.0,"b'{""data"":""9a996643d1376540000001""}'"
1582528850725,2020-02-24 04:20:50,0.0,"b'{""data"":""333366436cd06540000001""}'"
1582527947828,2020-02-24 04:05:47,0.0,"b'{""data"":""333366430d776640000001""}'"
1582527044873,2020-02-24 03:50:44,0.0,"b'{""data"":""00006643ed756740000001""}'"
1582526142778,2020-02-24 03:35:42,0.0,"b'{""data"":""33336643efc36840000001""}'"
1582525239813,2020-02-24 03:20:39,0.0,"b'{""data"":""33336543c2bf6940000001""}'"
1582524337803,2020-02-24 03:05:37,0.0,"b'{""data"":""9a19654376ec6a40000001""}'"
1582523435682,2020-02-24 02:50:35,0.0,"b'{""data"":""9a996443aa196d40000001""}'"
1582522532685,2020-02-24 02:35:32,0.0,"b'{""data"":""cdcc6343e6286f40000001""}'"
1582521631436,2020-02-24 02:20:31,0.0,"b'{""data"":""9a196443fe157140000001""}'"
1582520727634,2020-02-24 02:05:27,0.0,"b'{""data"":""9a99634388ac7240000001""}'"
1582519824727,2020-02-24 01:50:24,0.0,"b'{""data"":""00006443f6a27440000000""}'"
1582518922671,2020-02-24 01:35:22,0.0,"b'{""data"":""9a996343143c7640000000""}'"
1582518020587,2020-02-24 01:20:20,0.0,"b'{""data"":""6666614331077840000000""}'"
1582517124807,2020-02-24 01:05:24,0.0,"b'{""data"":""3333624389e17940000000""}'"
1582516217581,2020-02-24 00:50:17,0.0,"b'{""data"":""9a99644319607c40000000""}'"
1582515313632,2020-02-24 00:35:13,0.0,"b'{""data"":""cdcc64434fd87d40000000""}'"
1582514409589,2020-02-24 00:20:09,0.0,"b'{""data"":""9a19654377b57f40000000""}'"
1582513594667,2020-02-24 00:06:34,0.0,"b'{""data"":""9a9963439a488140000000""}'"
1582513256587,2020-02-24 00:00:56,0.0,"b'{""data"":""00000000fd9d8140020200""}'"
1582511744862,2020-02-23 23:35:44,0.0,"b'{""data"":""66666243c2d48240000000""}'"
1582510838899,2020-02-23 23:20:38,0.0,"b'{""data"":""333360432bff8240000000""}'"
1582509938756,2020-02-23 23:05:38,0.0,"b'{""data"":""66e660434e0e8340000000""}'"
1582509034484,2020-02-23 22:50:34,0.0,"b'{""data"":""3333604374158340000000""}'"
1582508130775,2020-02-23 22:35:30,0.0,"b'{""data"":""cd4c5f4340e78240000000""}'"
1582507227837,2020-02-23 22:20:27,0.0,"b'{""data"":""cdcc5e435c6e8340000000""}'"
1582506326428,2020-02-23 22:05:26,0.0,"b'{""data"":""9a195e43aefa8240000000""}'"
1582505422796,2020-02-23 21:50:22,0.0,"b'{""data"":""00805c43fb268340000000""}'"
1582504520509,2020-02-23 21:35:20,0.0,"b'{""data"":""66665c43fdf78240000000""}'"
1582503618572,2020-02-23 21:20:18,0.0,"b'{""data"":""66e65d4327fd8240000000""}'"
