Timestamp,Human readable date,Voltaje Batería,Context
1582537873821,2020-02-24 06:51:13,3.292569,b'{}'
1582536971844,2020-02-24 06:36:11,3.4137163,b'{}'
1582536069822,2020-02-24 06:21:09,3.4529445,b'{}'
1582535167058,2020-02-24 06:06:07,3.4826884,b'{}'
1582534263914,2020-02-24 05:51:03,3.5103633,b'{}'
1582533361300,2020-02-24 05:36:01,3.5292518,b'{}'
1582532458833,2020-02-24 05:20:58,3.543682,b'{}'
1582531556763,2020-02-24 05:05:56,3.5533016,b'{}'
1582530654847,2020-02-24 04:50:54,3.5625381,b'{}'
1582529752829,2020-02-24 04:35:52,3.5815318,b'{}'
1582528850725,2020-02-24 04:20:50,3.590846,b'{}'
1582527947828,2020-02-24 04:05:47,3.6010163,b'{}'
1582527044873,2020-02-24 03:50:44,3.6165726,b'{}'
1582526142778,2020-02-24 03:35:42,3.6369588,b'{}'
1582525239813,2020-02-24 03:20:39,3.652329,b'{}'
1582524337803,2020-02-24 03:05:37,3.6706824,b'{}'
1582523435682,2020-02-24 02:50:35,3.7046914,b'{}'
1582522532685,2020-02-24 02:35:32,3.7368712,b'{}'
1582521631436,2020-02-24 02:20:31,3.7669673,b'{}'
1582520727634,2020-02-24 02:05:27,3.7917805,b'{}'
1582519824727,2020-02-24 01:50:24,3.8224463,b'{}'
1582518922671,2020-02-24 01:35:22,3.8474169,b'{}'
1582518020587,2020-02-24 01:20:20,3.875439,b'{}'
1582517124807,2020-02-24 01:05:24,3.9043906,b'{}'
1582516217581,2020-02-24 00:50:17,3.9433653,b'{}'
1582515313632,2020-02-24 00:35:13,3.9663274,b'{}'
1582514409589,2020-02-24 00:20:09,3.9954507,b'{}'
1582513594667,2020-02-24 00:06:34,4.0401125,b'{}'
1582513256587,2020-02-24 00:00:56,4.0505357,b'{}'
1582511744862,2020-02-23 23:35:44,4.0884714,b'{}'
1582510838899,2020-02-23 23:20:38,4.0936484,b'{}'
1582509938756,2020-02-23 23:05:38,4.095496,b'{}'
1582509034484,2020-02-23 22:50:34,4.096369,b'{}'
1582508130775,2020-02-23 22:35:30,4.0907288,b'{}'
1582507227837,2020-02-23 22:20:27,4.1072216,b'{}'
1582506326428,2020-02-23 22:05:26,4.0931005,b'{}'
1582505422796,2020-02-23 21:50:22,4.0985084,b'{}'
1582504520509,2020-02-23 21:35:20,4.092772,b'{}'
1582503618572,2020-02-23 21:20:18,4.0934024,b'{}'
1582501812821,2020-02-23 20:50:12,4.0912027,b'{}'
1582500910518,2020-02-23 20:35:10,4.08892,b'{}'
1582500008117,2020-02-23 20:20:08,4.090354,b'{}'
1582499104736,2020-02-23 20:05:04,4.072714,b'{}'
1582498851457,2020-02-23 20:00:51,4.054871,b'{}'
1582498270483,2020-02-23 19:51:10,4.09311,b'{}'
1582497367490,2020-02-23 19:36:07,4.093252,b'{}'
1582496465345,2020-02-23 19:21:05,4.0896897,b'{}'
1582494659516,2020-02-23 18:50:59,4.092157,b'{}'
1582493756514,2020-02-23 18:35:56,4.0928392,b'{}'
1582492854287,2020-02-23 18:20:54,4.089782,b'{}'
1582491950533,2020-02-23 18:05:50,4.0938234,b'{}'
1582491048714,2020-02-23 17:50:48,4.091905,b'{}'
1582490144569,2020-02-23 17:35:44,4.093225,b'{}'
1582489245728,2020-02-23 17:20:45,4.0970106,b'{}'
1582488339359,2020-02-23 17:05:39,4.0919313,b'{}'
1582487437298,2020-02-23 16:50:37,4.0937147,b'{}'
1582486533590,2020-02-23 16:35:33,4.0881906,b'{}'
1582485630379,2020-02-23 16:20:30,4.091429,b'{}'
1582484727833,2020-02-23 16:05:27,4.0925865,b'{}'
1582483824610,2020-02-23 15:50:24,4.092453,b'{}'
1582482921384,2020-02-23 15:35:21,4.0933924,b'{}'
1582482018588,2020-02-23 15:20:18,4.0935926,b'{}'
1582481117113,2020-02-23 15:05:17,4.093115,b'{}'
1582480214171,2020-02-23 14:50:14,4.0931253,b'{}'
1582479310534,2020-02-23 14:35:10,4.0953827,b'{}'
1582478408275,2020-02-23 14:20:08,4.0948296,b'{}'
1582477506790,2020-02-23 14:05:06,4.0914173,b'{}'
1582477250603,2020-02-23 14:00:50,4.054354,b'{}'
1582476635259,2020-02-23 13:50:35,4.092692,b'{}'
1582475733750,2020-02-23 13:35:33,4.0927444,b'{}'
1582474829740,2020-02-23 13:20:29,4.09224,b'{}'
1582473926373,2020-02-23 13:05:26,4.0951543,b'{}'
1582473023181,2020-02-23 12:50:23,4.094857,b'{}'
1582472123582,2020-02-23 12:35:23,4.091276,b'{}'
1582471220868,2020-02-23 12:20:20,4.0923676,b'{}'
1582470317202,2020-02-23 12:05:17,4.091936,b'{}'
1582469414112,2020-02-23 11:50:14,4.0954885,b'{}'
1582468512933,2020-02-23 11:35:12,4.093404,b'{}'
1582467608250,2020-02-23 11:20:08,4.0887623,b'{}'
1582466706279,2020-02-23 11:05:06,4.0865726,b'{}'
1582466449056,2020-02-23 11:00:49,4.0499616,b'{}'
1582465825326,2020-02-23 10:50:25,4.092477,b'{}'
1582464922328,2020-02-23 10:35:22,4.093756,b'{}'
1582464021017,2020-02-23 10:20:21,4.0912867,b'{}'
1582463117186,2020-02-23 10:05:17,4.095108,b'{}'
1582462214283,2020-02-23 09:50:14,4.093998,b'{}'
1582461311259,2020-02-23 09:35:11,4.092767,b'{}'
1582460408291,2020-02-23 09:20:08,4.094045,b'{}'
1582459505958,2020-02-23 09:05:05,4.082689,b'{}'
1582459252951,2020-02-23 09:00:52,4.0486975,b'{}'
1582458676085,2020-02-23 08:51:16,4.092106,b'{}'
1582457773889,2020-02-23 08:36:13,4.091286,b'{}'
1582456871081,2020-02-23 08:21:11,4.0925264,b'{}'
1582455969041,2020-02-23 08:06:09,4.092966,b'{}'
1582455066173,2020-02-23 07:51:06,4.09215,b'{}'
1582454164195,2020-02-23 07:36:04,4.0885143,b'{}'
1582453262087,2020-02-23 07:21:02,4.089647,b'{}'
1582452359090,2020-02-23 07:05:59,4.088314,b'{}'
1582451456027,2020-02-23 06:50:56,4.0908794,b'{}'
1582450553970,2020-02-23 06:35:53,4.0856714,b'{}'
1582449651255,2020-02-23 06:20:51,4.089887,b'{}'
1582448748957,2020-02-23 06:05:48,4.0878434,b'{}'
1582447846066,2020-02-23 05:50:46,4.093236,b'{}'
1582446943191,2020-02-23 05:35:43,4.0927954,b'{}'
1582446040096,2020-02-23 05:20:40,4.0887628,b'{}'
1582445137093,2020-02-23 05:05:37,4.089819,b'{}'
1582444235025,2020-02-23 04:50:35,4.0926867,b'{}'
1582443331936,2020-02-23 04:35:31,4.096383,b'{}'
1582442430162,2020-02-23 04:20:30,4.095044,b'{}'
1582441527199,2020-02-23 04:05:27,4.0976696,b'{}'
1582440624964,2020-02-23 03:50:24,4.0948305,b'{}'
1582439722026,2020-02-23 03:35:22,4.0967994,b'{}'
1582438819215,2020-02-23 03:20:19,4.092869,b'{}'
1582437916970,2020-02-23 03:05:16,4.092515,b'{}'
1582437016534,2020-02-23 02:50:16,4.1065855,b'{}'
1582436112964,2020-02-23 02:35:12,4.0962343,b'{}'
1582435209906,2020-02-23 02:20:09,4.0955667,b'{}'
1582434307471,2020-02-23 02:05:07,4.0855746,b'{}'
1582434053971,2020-02-23 02:00:53,4.051037,b'{}'
1582433465962,2020-02-23 01:51:05,4.0947905,b'{}'
1582432562977,2020-02-23 01:36:02,4.092747,b'{}'
1582431659839,2020-02-23 01:20:59,4.09319,b'{}'
1582430757906,2020-02-23 01:05:57,4.088707,b'{}'
1582429854870,2020-02-23 00:50:54,4.086423,b'{}'
1582428951941,2020-02-23 00:35:51,4.089882,b'{}'
1582428048876,2020-02-23 00:20:48,4.092218,b'{}'
1582427145954,2020-02-23 00:05:45,4.09109,b'{}'
1582426244779,2020-02-22 23:50:44,4.0928483,b'{}'
1582425341106,2020-02-22 23:35:41,4.0889416,b'{}'
1582424437774,2020-02-22 23:20:37,4.0894127,b'{}'
1582423535974,2020-02-22 23:05:35,4.0936966,b'{}'
1582422632957,2020-02-22 22:50:32,4.0904403,b'{}'
1582421731166,2020-02-22 22:35:31,4.092594,b'{}'
1582420828930,2020-02-22 22:20:28,4.0928626,b'{}'
1582419926048,2020-02-22 22:05:26,4.095108,b'{}'
1582419022993,2020-02-22 21:50:22,4.0931997,b'{}'
1582418122619,2020-02-22 21:35:22,4.090609,b'{}'
1582417220054,2020-02-22 21:20:20,4.09033,b'{}'
1582416315798,2020-02-22 21:05:15,4.090375,b'{}'
1582415413923,2020-02-22 20:50:13,4.087926,b'{}'
1582414510856,2020-02-22 20:35:10,4.092949,b'{}'
1582413608832,2020-02-22 20:20:08,4.093478,b'{}'
1582412706009,2020-02-22 20:05:06,4.057912,b'{}'
1582412446875,2020-02-22 20:00:46,4.0574512,b'{}'
1582411880748,2020-02-22 19:51:20,4.097661,b'{}'
