Timestamp,Human readable date,AvgSNR,Data,Diferencia,Duplicado,Estado de bateria,Estado de Sistema,Estado Voltaje AC,ID Dispositivo,ID Estación,ID Tipo de Dispositivo,Latitud,Longitud,Número de Secuencia,RSSI,SNR,TimeStamp,Voltaje AC,Voltaje Batería,context_AvgSNR,context_Data,context_Diferencia,context_Duplicado,context_Estado de bateria,context_Estado de Sistema,context_Estado Voltaje AC,context_ID Dispositivo,context_ID Estación,context_ID Tipo de Dispositivo,context_Latitud,context_Longitud,context_Número de Secuencia,context_RSSI,context_SNR,context_TimeStamp,context_Voltaje AC,context_Voltaje Batería
1582528850725,2020-02-24 04:20:50,15.69,0.0,3368.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,-34.0,-71.0,3369.0,-124.0,13.5,1582528848.0,230.2,3.590846,b'{}',"b'{""data"":""333366436cd06540000001""}'",b'{}',"b'{""duplicate"":""false""}'",b'{}',b'{}',b'{}',"b'{""device"":""4D54B4""}'","b'{""station"":""70F1""}'","b'{""deviceTypeId"":""5e1607122564324b86ef7333""}'",b'{}',b'{}',b'{}',b'{}',b'{}',b'{}',b'{}',b'{}'
1582527947828,2020-02-24 04:05:47,15.49,0.0,3367.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,-34.0,-71.0,3368.0,-121.0,15.39,1582527946.0,230.2,3.6010163,b'{}',"b'{""data"":""333366430d776640000001""}'",b'{}',"b'{""duplicate"":""false""}'",b'{}',b'{}',b'{}',"b'{""device"":""4D54B4""}'","b'{""station"":""70F1""}'","b'{""deviceTypeId"":""5e1607122564324b86ef7333""}'",b'{}',b'{}',b'{}',b'{}',b'{}',b'{}',b'{}',b'{}'
1582527044873,2020-02-24 03:50:44,15.41,0.0,3366.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,-34.0,-71.0,3367.0,-127.0,12.13,1582527043.0,230.0,3.6165726,b'{}',"b'{""data"":""00006643ed756740000001""}'",b'{}',"b'{""duplicate"":""false""}'",b'{}',b'{}',b'{}',"b'{""device"":""4D54B4""}'","b'{""station"":""70F1""}'","b'{""deviceTypeId"":""5e1607122564324b86ef7333""}'",b'{}',b'{}',b'{}',b'{}',b'{}',b'{}',b'{}',b'{}'
1582526142778,2020-02-24 03:35:42,15.22,0.0,3365.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,-34.0,-71.0,3366.0,-122.0,11.42,1582526141.0,230.2,3.6369588,b'{}',"b'{""data"":""33336643efc36840000001""}'",b'{}',"b'{""duplicate"":""false""}'",b'{}',b'{}',b'{}',"b'{""device"":""4D54B4""}'","b'{""station"":""70F1""}'","b'{""deviceTypeId"":""5e1607122564324b86ef7333""}'",b'{}',b'{}',b'{}',b'{}',b'{}',b'{}',b'{}',b'{}'
1582525239813,2020-02-24 03:20:39,15.09,0.0,3364.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,-33.0,-71.0,3365.0,-123.0,9.43,1582525238.0,229.2,3.652329,b'{}',"b'{""data"":""33336543c2bf6940000001""}'",b'{}',"b'{""duplicate"":""false""}'",b'{}',b'{}',b'{}',"b'{""device"":""4D54B4""}'","b'{""station"":""8250""}'","b'{""deviceTypeId"":""5e1607122564324b86ef7333""}'",b'{}',b'{}',b'{}',b'{}',b'{}',b'{}',b'{}',b'{}'
1582524337803,2020-02-24 03:05:37,15.0,0.0,3363.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,-34.0,-71.0,3364.0,-123.0,15.85,1582524336.0,229.1,3.6706824,b'{}',"b'{""data"":""9a19654376ec6a40000001""}'",b'{}',"b'{""duplicate"":""false""}'",b'{}',b'{}',b'{}',"b'{""device"":""4D54B4""}'","b'{""station"":""70F1""}'","b'{""deviceTypeId"":""5e1607122564324b86ef7333""}'",b'{}',b'{}',b'{}',b'{}',b'{}',b'{}',b'{}',b'{}'
1582523435682,2020-02-24 02:50:35,15.03,0.0,3362.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,-34.0,-71.0,3363.0,-128.0,10.3,1582523434.0,228.6,3.7046914,b'{}',"b'{""data"":""9a996443aa196d40000001""}'",b'{}',"b'{""duplicate"":""false""}'",b'{}',b'{}',b'{}',"b'{""device"":""4D54B4""}'","b'{""station"":""70F1""}'","b'{""deviceTypeId"":""5e1607122564324b86ef7333""}'",b'{}',b'{}',b'{}',b'{}',b'{}',b'{}',b'{}',b'{}'
1582522532685,2020-02-24 02:35:32,15.03,0.0,3361.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,-34.0,-71.0,3362.0,-126.0,13.99,1582522531.0,227.8,3.7368712,b'{}',"b'{""data"":""cdcc6343e6286f40000001""}'",b'{}',"b'{""duplicate"":""false""}'",b'{}',b'{}',b'{}',"b'{""device"":""4D54B4""}'","b'{""station"":""70F1""}'","b'{""deviceTypeId"":""5e1607122564324b86ef7333""}'",b'{}',b'{}',b'{}',b'{}',b'{}',b'{}',b'{}',b'{}'
1582521631436,2020-02-24 02:20:31,14.99,0.0,3360.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,-34.0,-71.0,3361.0,-122.0,12.41,1582521629.0,228.1,3.7669673,b'{}',"b'{""data"":""9a196443fe157140000001""}'",b'{}',"b'{""duplicate"":""false""}'",b'{}',b'{}',b'{}',"b'{""device"":""4D54B4""}'","b'{""station"":""70F1""}'","b'{""deviceTypeId"":""5e1607122564324b86ef7333""}'",b'{}',b'{}',b'{}',b'{}',b'{}',b'{}',b'{}',b'{}'
1582520727634,2020-02-24 02:05:27,14.97,0.0,3359.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,-34.0,-71.0,3360.0,-124.0,7.45,1582520726.0,227.6,3.7917805,b'{}',"b'{""data"":""9a99634388ac7240000001""}'",b'{}',"b'{""duplicate"":""false""}'",b'{}',b'{}',b'{}',"b'{""device"":""4D54B4""}'","b'{""station"":""70F1""}'","b'{""deviceTypeId"":""5e1607122564324b86ef7333""}'",b'{}',b'{}',b'{}',b'{}',b'{}',b'{}',b'{}',b'{}'
